ID,Project Name - (Value),Alternative Names - (Value),State of Development - (Value),State of Development - Reason for abandoned - (Value),State of Development - (Source ID's),State of Development - (Notes),Stage of Development - (Value),Stage of Development - (Source ID's),Stage of Development - (Notes),Type of instrument and project - Impact Bond - (Value),Type of instrument and project - Outcomes Fund - (Value),Type of instrument and project - Social Impact Incentives (SIINC) - (Value),Type of instrument and project - Social Impact Guarantee - (Value),Type of instrument and project - Payment-by-results (no pre-financing) - (Value),Type of instrument and project - Technical Assistance and Market-building program (Must involve dedicated grant resources) - (Value),Type of instrument and project - Other - (Value),(Source ID's),(Notes),Part of a larger outcomes-based financing program? - Part of a larger outcomes-based financing program? - (Value),Part of a larger outcomes-based financing program? - Details - (Value),Part of a larger outcomes-based financing program? - (Source ID's),Part of a larger outcomes-based financing program? - (Notes),Dates - Expected Launch Date - (Value),Dates - Total expected project development time - (Value),Dates - Expected length of project (years) - (Value),Dates - Project design process began - (Value),Dates - (Source ID's),Dates - (Notes),Rationale for using outcome based finance - (Value),(Source ID's),(Notes),Key challenges to launch - (Value),(Source ID's),(Notes),Role of the domestic government - Outcomes funder - (Value),Role of the domestic government - Service provider - (Value),Role of the domestic government - Member of project committee - (Value),Role of the domestic government - No formal role - (Value),Role of the domestic government - Other - (Value),(Source ID's),(Notes),Service providers identified and selected - Request-for-proposals - (Value),Service providers identified and selected - Direct contracting by outcome funder/investor/intermediary - (Value),Service providers identified and selected - Provider-led deal development - (Value),Service providers identified and selected - Other - (Value),(Source ID's),(Notes),Feasibility study - (Value),(Source ID's),(Notes),Proposed financing instruments - Debt - (Value),Proposed financing instruments - Equity - (Value),Proposed financing instruments - Guarantee - (Value),Proposed financing instruments - Grant - (Value),Proposed financing instruments - Other - (Value),(Source ID's),(Notes),Technical assistance grant - Technical assistance grant - (Value),Technical assistance grant - Details - (Value),Technical assistance grant - (Source ID's),Technical assistance grant - (Notes),Overall project finance - Estimated Maximum potential outcome payment - Currency - (Value),Overall project finance - Estimated Maximum potential outcome payment - Amount - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Purpose and classifications - Social/Developmental challenge - (Value),Purpose and classifications - Expected intervention model - (Value),Purpose and classifications - Policy sector - Employment and private sector development - (Value),Purpose and classifications - Policy sector - Education - (Value),Purpose and classifications - Policy sector - Social protection - (Value),Purpose and classifications - Policy sector - Criminal justice - (Value),Purpose and classifications - Policy sector - Health - (Value),Purpose and classifications - Policy sector - Agriculture - (Value),Purpose and classifications - Policy sector - Environment and climate change - (Value),"Purpose and classifications - Policy sector - Water, Sanitation and Hygiene - (Value)",Purpose and classifications - Policy sector - Energy - (Value),Purpose and classifications - Policy sector - Humanitarian - (Value),Purpose and classifications - Policy sector - Early Childhood Education - (Value),Purpose and classifications - Policy sector - Other - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service users and beneficiaries - Target population - (Value),Service users and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service users and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service users and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Low-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Lower-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - Upper-middle-income - (Value),Service users and beneficiaries - Country Classification of Service and beneficiaries - High-income - (Value),Service users and beneficiaries - (Source ID's),Service users and beneficiaries - (Notes),Notes - (Value),Delivery Locations - Name,Delivery Locations - Country
INDIGO-PL-0163,Sierra Leone Early Childhood Education Outcomes Fund ,Salone Pikin 4 Play en Lan,Current,,source1,,Final negotiations,source1,,,Yes,,,,,,source1,,No,,source1,,,,4,,source1,Expected Launch Date: Dec 2024,"Sierra Leone is a priority country for EOF portfolio of programmes. The Government of Sierra Leone, in partnership with EOF, launched an Outcomes Fund at the primary level to increase learning outcomes in primary school children (SLEIC). The government solidifed its willingness to explore innovative financing mechanisms to increase the outcomes of children in the education sector. Former Minister of Basic and Senior Secondary Education and current Chief Minister David Sengeh has championed the use of innovative finance at scale to help build a nascent ECCE sector in the country and ensure the value-for-money of education interventions. Following the successful launch of the SLEIC programme, President Bio unveiled an exciting new chapter in Sierra Leone's journey for quality education: the ECCE programme, a testament to the commitment and resolute political will driving this enduring partnership.",source1,,,source1,,Yes,,Yes,,Open call for expression of interest,source1," Criteria includes:
- Experience working in Sierra Leone
- Experience implementing programmes relevant to the outcomes fund objective (access, quality including both structural and process quality and holistic child development) 
- Evidence of results of past interventions 
- Experience working with vulnerable groups and in remote areas 
- Experience workign with community engagement 
- Experience implementing at scale with partners",Yes,,,,,In negotiation and due diligence process of service providers,Yes,source1,,,,,,,,,No,,source1,,USD,17000000,source1,,"1. Limited but growing financial resources to the sector.
2. The recent prioritisation of ECCE by the Ministry of Basic and Senior Secondary Education (MBSSE) also means that several of the administrative and institutional structures needed to support the rapid expansion of the sector are still in development. Firstly, there is limited data, especially on quality of ECCE provision and on the functioning of the more informal parts of the ECCE sector such as community ECD centres. Limited oversight and monitoring of ECD centres have resulted in an incomplete picture of the ECCE provision. In turn, this leads to an absence of evidence to inform policy, particularly on informal provision and its quality. Finally, as the sector develops, interventions have been more focused on activities/inputs and outputs rather than on outcomes, such as child development. In following the GoSL existing commitment to impact, it will be critical moving forward that accountability structures focus on impact on child development to ensure that existing efforts are translated into improved outcomes for children.
3. Process and structural quality are limited due to infrastructure constraints and insufficient pedagogy rollout. There is a limited use of age-appropriate pedagogy as the new standards have not been translated into practice yet. Some pre-primary centres lack basic facilities: for example, 24% of pre-primary centres had no access to running water in 2021, and most teachers are not trained in using child-centred approaches. These structural constraints combine to create a situation of insufficient supply of ECCE services. Additionally, there is a limited use of age-appropriate pedagogy as the new standards have not been translated into practice yet. A lack of capacity to systemically monitor the process quality of these centres also limits the information available on their suitability to meet instructional quality standards. There are also demand-side forces that impact the rollout of process quality improvements, such as limited parental awareness of the importance of ECCE and age-appropriate and play-based pedagogies for childrenâs holistic development and learning, which leads to limited demand for these programmes in some areas","The primary objective of this programme is to expand access to quality early learning opportunities to achieve the ultimate goal of improving holistic child development outcomes for children aged 3-5 in Sierra Leone to better prepare them for the next stage of education. This programme aims to complement existing programmes, such as the proposed GPE funding which aims to expand the pre-primary sector through establishing P0 classrooms within primary schools with UNICEF acting as grant agent. Through complementary efforts, rather than doubling interventions of the same type, this programme can help rapidly expand access to ECCE and find synergies with other programmes to benefit implementers across both programmes.",,Yes,,,,,,,,,Yes,,,,,,source1,,Children ages 3-5 inclusive,"Estimated a direct reach of up to 29,700 unique children possibility of expanding it to around 63,700 participating children. EOF expects that 115- new ECCE centres will be open through the programme, benefiting the families within the selected areas ",Individual,,Yes,,,,source1,"The 3-5 age range aligns with the Sierra Leone Education Sector Plan (ESP) 2022-26, which includes three years in formal pre-primary education, starting at age three, and also gives the intervention a longer opportunity to achieve impact prior to the transition to primary school. ",Data for this pipeline instrument was last updated in November 2024. ,Sierra Leone,SL
INDIGO-PL-0164,Strengthen the capacity of government health teams and develop a community health outcome-based fund,,Current,,source1,,Final negotiations,source1,Scale-up,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,"3,5,8,10",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,Kenya,KE
INDIGO-PL-0165,The Outcomes Fund for Fevers: Scaling Private Sector Case Management and Reporting through Performance-Based Financing,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,"3, 5, 8",,,,source1,,,,,,,,,,,,Data for this pipeline project was last updated in September 2022,,
INDIGO-PL-0166,Building Education Foundations through Innovation & Technology (BEFIT),,Current,,source1,,Final negotiations,source1,,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,No,No,No,No,No,No,No,,"4, 5, 10",,,,source1,,,,,,Yes,No,No,No,source1,,Data for this pipeline project was last updated in September 2022,Malawi,MW
INDIGO-PL-0167,India Health Outcomes Fund,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,Yes,No,No,No,,"3, 5, 6, 8, 9, 10, 17",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,India,IN
INDIGO-PL-0168,Curbing Antimicrobial Resistance (AMR) through results-based financing,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,No,No,No,No,,3,,,,source1,,,,,,Yes,Yes,No,No,source1,,Data for this pipeline project was last updated in September 2022,"Senegal, Democratic Republic of the Congo, India","SN, IN, CD"
INDIGO-PL-0169,Outcomes-linked Revolving Fund to improve employment outcomes in Latin America,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,,"4, 5, 8",,,,source1,,,,,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in September 2022,"Argentina, Mexico, Brazil, Columbia","CO, MX, BR, AR"
INDIGO-PL-0170,Pakistan Employment Impact Bond,,Current,,source1,,Early stage,source1,,Yes,Yes,No,No,No,Yes,,source1,,,,,,,,,,,,"Our outcomes-based livelihoods programme supports more than 8000 women to achieve increased income through skills training, including in non-traditional skills, across Sindh and Punjab. Evidence shows a 90% success rate of achieving outcomes through a focus on cost effective and innovative solutions. The DIB aims to evidence the impact and value for money of outcomes-based programmes and financial models by increasing investment to training providers who cannot access mainstream investment, allowing them to scale up and be more efficient. 

BAT has been at the forefront of building the market for innovative finance and implementing impact bond models for education and skills in India. We have developed templates and guidelines to support replicability of successful models across regions and sectors. The Pakistan market shares many of the challenges and opportunities of the Indian market. The DIB will leverage our experience and learnings allowing Pakistan to leapfrog to scale and systems change.",source1,,"Interest and engagement with outcomes-based financing in the Pakistan skills development sector has been growing with buy in from international and regional players including the ADB, FCDO and the World Bank. This buy in has seen an expansion in outcomes-based programmes. However key systematic challenges remain including a focus on outputs rather than outcomes and lack of willingness and ability to absorb risk. Monitoring and evaluation has not translated into sustained performance/efficiency improvement; instead, focussing mostly on validation of periodic results.

BAT would utilize the $300,000 Accelerator support to mitigate against the issues above by engaging with data gathering and analysis of specific challenges that are inhibiting outcomes for potential beneficiaries in Punjab. The funding will enable BAT in partnership with PSDF to design a clear outcomes metric, including the setting up of payment and financial models that supports fundraising and risk management for key investors and funders.",source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skills development overall is chronically underfunded in Pakistan with as little as USD 83 million allocated to it by the federal government. In Punjab, the state government allocates less than 1% of the total available budget towards developing a skilled workforce. Moreover, skilling programmes tend to be of poor quality, and often not aligned to market needs. From a gender perspective, only a third of trainee positions in vocational training institutions are available to women. Among the positions that are available, women are channelled into traditional trades further entrenching gender stereotypes and limiting women's participation in more financially lucrative sectors.   

The program aims to draw in new sources of funding for the skilling sector through a robust payment-by-results mechanism that will ensure upfront flexible funding to incentivize training providers to design and deliver demand-led innovative solutions that result in employment outcomes for the target group with a strong gender lens.","The British Asian Trust (BAT) is launching Pakistan's first Development Impact Bond (DIB) in the Punjab. The DIB will promote the skills development of young people, with a focus on supporting young women into sustainable employment. BAT has undertaken a comprehensive feasibility study in Pakistan, funded by the Asian Development Bank (ADB), which identified emerging trends and gaps within the skills development sector and contextual requirements for implementing an outcomes-based solution with a particular focus on women. 

Having grown the innovative finance ecosystem in India, we will this experience and expertise in Pakistan. Given the nascent market, funding from the Accelerator would allow BAT to develop the first of its kind outcomes-based financial instrument acting as a catalyst for innovative finance in Pakistan. Our objective is to ensure that the DIB is transformative for the skills ecosystem in Pakistan by enabling cross-sector partnerships to align incentives for all stakeholders towards the achievement of outcomes. This will have a significant positive impact beyond the lifecycle of the proposed solution by strengthening an emerging impact investing ecosystem within Pakistan. Additionally, we will aim to showcase how government funding can be deployed to focus on longer term and gender focused outcomes.",Yes,No,No,No,No,No,No,No,No,No,No,,8,,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in May 2024,Pakistan,PK
INDIGO-PL-0171,Future of Work Fund,,Current,,source1,,Final negotiations,source1,,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,"An outcomes based instrument for access to tertiary education is not only innovative, but vital.  Access to education without alignment to employment outcomes or private sector needs can be detrimental to financing. An example of this is the oversupply of Kenyan BA graduates. Outcomes based funding instruments for student finance ensures that stakeholders in the ecosystem, i.e.young people, education providers and employers, are aligned as it is only successful when these stakeholders work together.  

By 2030, an estimated 137M  secondary school graduates in SSA will be in need of tertiary opportunities.  Scaling ISAs will require uptake from other financial service providers.  Our north star is proving that this financial product can be ethical, sustainable and profitable. Our initial results show that African youth are indeed investable and expansion in SA and Ghana will further serve as proof points for the recognition of the ISA as an asset class.",source1,,"To scale up the Future of Work Fund, we need of additional capacity to engage the growing interest in South Africa and Ghana.  There is also need for additional legal and professional services as the set-up/expansion of an investment vehicle requires upfront costs and a high level of expertise to ensure success. For the first round of funding, there were direct set-up costs of $200 000, and indirect costs of $400 000. We anticipate that for the expansion of FWF to include Ghana and additional investment in South Africa and/or the set up of local funds will cost up to $400 000.  This includes design, structuring, fundraising and local market development.  We currently have $200,000 committed in our 2024 budget.  An additional $200 000 grant along with targeted expertise and support will significantly impact our ability to scale up ISA funding in South Africa and Ghana.",source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Education Commission costing model (2016) estimates a $25B gap in the demand for financing tertiary education in Africa.  This gap follows current government spending and foreign aid initiatives and highlights an urgent need to develop solutions that can be embedded in the private sector. 

Student lending faces similar challenges to those of SMEs.  The financial need is too large and long term for MFIs but too small and too risky for traditional banks.  Accessing loans to finance tertiary education is particularly difficult for women and  those from lower income families without collateral to guarantee loans.  Student lending is considered very high risk, particularly given the proliferation of low quality programs.

There is a critical need to align the outcomes and incentives for key stakeholders in addressing youth unemployment and ensure access to high quality, market relevant tertiary education under terms that are fair and ethical.","Chancen International is a social impact organization focused on the intersection of education, livelihoods, and financial inclusion in Africa, with a particular emphasis on empowering women. Through its FAIR and ETHICAL solution known as the Chancen Income Share Agreement (ISA), Chancen provides financing to traditionally excluded populations to enable access to high-quality education that leads to employment. 

In 2021, Chancen launched the Future of Work Fund 1.0, a $21M blended investment vehicle designed to finance 10,000 youth in Rwanda, Kenya and South Africa by 2025. Through this innovative financing mechanism, incentives are aligned such that returns to investors are healthy when traditionally marginalized youth are successful in transitioning into meaningful employment. 

Chancen has already achieved a first close of $11 million in commitments and has a pipeline of education providers that would lead to approximately $5 million in ISAs disbursed annually. We have noted an increasing interest for investment into this structure and in parallel have developed a strong pipeline for growth in both South Africa and Ghana. We are requesting funding to support the feasibility, design and implementation of our next large round of financing which will support expansion in these two markets.",Yes,Yes,No,No,No,No,No,No,No,No,No,,"4, 5, 8",,,,source1,,,,,,No,Yes,Yes,No,source1,,Data for this pipeline project was last updated in July 2023,"South Africa, Ghana","ZA, GH"
INDIGO-PL-0172,Youth Against Plastic Pollution (YAPP),,Current,,source1,,Scoping,source1,,No,Yes,No,No,No,No,,source1,,,,,,,,,,,,"The preferred financing approach is innovative as it helps in narrowing the funding gap for development sector projects by increasing the cost-effectiveness of funding available and by unlocking financing opportunities from the private sector. As an innovative public-private partnership format, Outcome-Based Financing combines market discipline with managed project performance, that helps improve the alignment of government spending at the local authority level with evidence-based solutions for social challenges. Given that the project is at its inception phase, it will utilize action research to generate new knowledge on cost effective waste management models, and test new models at waste management through its interventions that will work with a pool of youth entrepreneurs and innovators within the Entrepreneurship Cluster of NAYO. By leveraging on the vast experience of partners in the project, will also enhance the projects ability to be cost effective and sustainable beyond the life cycle of the project. ",source1,,"The pain points that are preventing the project from moving forward include the lack of fiscal support from central Government to support local authorities in dealing with waste management issues, absence of clear frameworks to deal with plastic pollution, rising plastic pollution and dump sites within the local authority, lack of private sector funding and cross sector collaborations to address the challenge of plastic pollution. The Accelerator support will be catalytic to the intervention as it will create an ecosystem that fosters a partnership inclusive of local authority, private sector and non-governmental organizations to tackle the challenges at hand that is backed by a global space ",source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plastic pollution affects the right to a clean and health environment guaranteed by the Constitution. It alters habitats and natural processes, reducing ecosystemsÃ¢ÂÂ ability to adapt to climate change, directly affecting peopleÃ¢ÂÂs livelihoods, food production capabilities and social well-being. Zimbabwe per annum generates approximately 342 000 tonnes of plastic waste, which is about 18 % of the total waste in Zimbabwe largely in the form of Low-Density Polythene (LDPE); High Density Polythene (HDPE); Polyethylene Terephthalate; Poly vinyl chloride and Polypropylene. Over 10 000 of plastics are imported annually while the rest are generated locally. Compounding the situation, local authorities in Zimbabwe are unable to provide sustainable refuse collection services due to constrained budgets resulting in refuse dumps, Zimbabwe lacks engineered sanitary facilities for the disposal of waste and there are no regulatory frameworks addressing plastic pollution.","The project envisions addressing the plastic pollution crisis in Zimbabwe by implementing catalytic actions at the local authority level within the Harare City Council, the biggest local authority in Zimbabwe. The projects objectives include: strengthened ability of Harare City local authority to undertake concrete actions to tackle plastic pollution and strengthened ability of residents to make informed decisions concerning waste management. The envisioned outcomes are: (1) institutional strengthening and capacity development of Harare local authority to support regulatory frameworks addressing Plastic Pollution and (2) improved plastic waste management practices adopted by the Harare Local Authority, and reduction in carbon emissions related to plastic pollution. The project will address the challenge by cutting emissions through reduced production of new plastics, eliminate already existing plastic waste through the five RÃ¢ÂÂs of waste management (refuse, reduce, reuse, repurpose, recycle), promote responsible production and consumption by plastic production and manufacturing industries, and reduce loss and damage linked to plastic pollution. The project is seen as a pilot, with potential for replication within other local authorities located in Zimbabwe. Key activities will include production of white policy papers, waste management simulations/challenges, institutional strengthening of local authority and stakeholder consultations.",No,No,No,No,No,No,Yes,Yes,No,No,No,,"6, 12, 13",,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in August 2023,Zimbabwe,ZW
INDIGO-PL-0173,Harmonized Digital Health Transformation: A Pilot Initiative in Luanda's Healthcare System,,Current,,source1,,Early stage,source1,,No,Yes,No,No,No,Yes,,source1,,,,,,,,,,,,"1. Program Innovations: The DHP presents an innovative approach to digitized healthcare. Harmonizing healthcare services, it emphasizes quality-of-care standards. Adapted to various hospital workflows, the DHP facilitates clinical data management, from tracking patient history to overseeing preventive care.
2. Potential Pathways to Scale: The DHP's success in Africa underlines its scalability. Its design, inclusive of manuals and SOPs, ensures any stakeholder can effectively adopt it. From a pilot in Luanda, the DHP holds vast potential for broad deployment across Angola's hospital sector.
3. Financial Sustainability: At a cost of 300,000 USD, DHP's emphasis on open-source solutions and community-driven support ensures long-term financial viability. If successful, this platform will attract additional funding.",source1,,"1. Budgetary Limitations: The early phase requires financial commitment for research, testing, and early roll-out.
2. Stakeholder Apprehension: Convincing providers, who might be skeptical about adopting novel technologies, is essential.
3. Consistency and Capacity Building: Instituting uniform quality measures and preparing medical staff for the platform is challenging without detailed directives.
The proposed $300,000 will mitigate these issues by:
1. Supporting Design Research: This allocation facilitates research and customization of the DHP to cater to Luanda's distinct requirements while being economically viable.
2. Technical Advancements: The budget will aid in acquiring the needed technology, amalgamating open-source systems, and ensuring compatibility with limited bandwidth environments.
3. Change Management: Allocated funds will be used to organize workshops and sessions, encouraging service providers' to adopt DHP facilitating seamless integration.
4. Initiating the CoP: Some resources will go towards launching the Community of Practice, guaranteeing sustained assistance, consistency, and perpetual refinements.",source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Despite investment by government and others in the hospital sector, there are high implementation costs, inconsistency in quality standards, a lack of coordination by health professionals and resistance from service providers. The proposed Digital Health Platform (DHP) directly addresses these inefficiencies. The adoption of open-source software will mitigate high expenses by introducing a system that can be scaled and customized according to the realities of the hospitals. By prioritizing low bandwidth usage, the project caters to areas with poor internet infrastructure. The establishment of a Community of Practice offers sustained support, promoting collaboration and ensuring continual improvements. The DHP's modular nature promotes customization, shifting from a disease-specific paradigm to a holistic, person-centered approach, enhancing the user experience and its integration with primary health care units will allow for greater coordination and referral management. Through documentation and the development of manuals, the market will be able to replicate this in Angola.","WHO and the Ministry of Health aim to implement a Digital Health Platform (DHP) aimed at harmonizing digitization in healthcare services, emphasizing a quality-of-care approach to hospital services and establishing national standard guidelines on the digitization of quality of care. The project is designed to be piloted in a small hospital in Luanda, Angola and will be documented academically by the Private University of Angola.
The DHP is a facility-wide end-to-end digital solution that enables users to collect, analyze and interpret clinical information. The platform can be manipulated to fit the hospital across different service delivery levels. The platform has several modules that enable users to easily enter, retrieve and analyze data.
The project also includes the development of manuals and guidelines allowing any stakeholder to effectively replicate the DHP thus improving its scalability and its importance. A similar platform has been developed by WHOÃ¢ÂÂs regional office and this project would be guided by its implementation.
It is an opportunity to modernize healthcare in Angola, with a view to seeking additional funding to scale the project if successful. The collaboration and focus on open-source solutions and community-driven support make it a viable and promising initiative for the Angolan healthcare system.",No,No,No,No,Yes,No,No,No,No,No,No,,"3, 8, 9",,,,source1,,,,,,,,,,source1,,Data for this pipeline project was last updated in August 2023,Angola,AO
INDIGO-PL-0174,Amazon Biome Regenerative Economy Outcomes Fund,,Current,,source1,,Early stage,source1,Early-stage design ,Yes,Yes,No,No,No,No,,source1,,,,,,,,,,,,"""This project has a Multi-stakeholder approach tackling environmental expertise (WWF), nature-based tourism focused, business model focus, result-based financing structuring (Dalberg) and impact investment /venture building/early stage VC (Mutual Empathy) provides strong team for securing funding and financing, structuring and implementing this mechanism. Also combines technology, ecotourism, and environmental finance. Connects local businesses with the marketplace and funding for conservation/restoration. Measure and enhance conservation/restoration actions. Generating value for: hosts, travelers, donors and ecosystems.
This mechanism will continue to be replicated and expanded in the Amazon, Colombia and Latin America, from the social and environmental impact. The growth potential of the market, technology, allies, impact results, blended finance, environmental finance allow us to generate value both in tourism and in the social/environmental sector and have the ability to scale the business model and impact.
This guarantees the sustainability of the results and the value for environmental funders in the long term.""",source1,,"We focus on the first challenge, Awake Travel has experience in implementing RBF mechanisms successfully. The UK Pact program awarded Awake Travel financial resources for implementation. We are looking to scale that work in collaboration between Awake, WWF Colombia and Mutual Empathy/RWC Pioneering an Outcomes Fund on regenerative economy for the Amazon has been challenging, even with strong partners like WWF. We have been able to contribute funding for the early stages but the need of a provider to structure the mechanism like Darlberg is necessary. These organizations require advisory fees and we have been lucky to get their support for this initial stage. The funding and support which could be provided by the Outcomes Accelerator is essential to hire Darlberg. These RBF mechanisms are usually funded by development banks, foundations, governments which have design funding resources.",source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Deforestation in the Amazon leads to GHG emissions and loss of biodiversity, compounded by the lack of sustainable livelihoods in local communities. Problems anchored to high levels of multidimensional poverty in rural communities of the Amazon (including indigenous and peasant communities), prevailing productive activities related to deforestation.
Nature tourism as a mitigant is promising, but presents challenges: 
-Lack of sufficient capacities in tourism and conservation. 
-Lack of articulation between actors in the chain. 
-Little technological adoption in nature tourism businesses creates friction in the purchase.
-Lack of positioning in the market of emerging destinations weakens the effective generation of income.
-Lack of cost-efficient systems for measuring socio-environmental impact limit the generation of value, awareness and decision-making. 
-There is a gap in the sector to access the capital available in tourism and conservation, as it is a highly fragmented and informal chain.""","To carry out a feasibility study for the design of a Payment by Results Fund (Amazon Biome Regenerative Economy Outcomes Fund) whose purpose is the conservation of habitat and biodiversity with practices in the regenerative economy in the Amazon Biome. A roadmap will be designed with the essential steps to design said fund and issue the impact bonds that are identified as priorities (Nature Based Tourism, Wildlife Conservation, Regenerative Agriculture and Traditional Ancestral knowledge), including the eligibility criteria and impact indicators, the field actions that can be supported, the procedure required, actors involved and their profiles, monitoring, verification and reporting mechanisms, operating policies and the financial model for the structuring, certification, marketing and issuance of the fund. The initial challenge to be designed and issued is Nature-Based Tourism (NB Tourism) which is the main focus of this proposal.",Yes,No,No,No,No,No,Yes,No,No,No,No,,"8,13,15",,,,source1,,,,,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in August 2023,Colombia,CO
INDIGO-PL-0175,Livelihood Social Impact Bond - Enhancing credit access and income for Micro Enterprises in the state of Madhya Pradesh,,Current,,source1,,Late stage,source1,,Yes,Yes,No,No,Yes,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,Other: Access to finance,8,,,,source1,,,,,,No,Yes,No,No,source1,,Data for this pipeline project was last updated in May 2024,India,IN
INDIGO-PL-0176,Pilot Sustainable Waste Management Initiative in Malaysia,,Current,,source1,,Early stage,source1,,Yes,Yes,No,No,Yes,No,,source1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,"8,12,13",,,,source1,,,,,,No,No,Yes,No,source1,,Data for this pipeline project was last updated in May 2024,Malaysia,MY
