project_name,location_identifier,indigo_name,original_language_name,english_translated_name,alternative_name,countries_iso,project_url,is_sib,is_dib,variant_name,naming_error_assumed,is_historic,is_active,is_proof_of_concept,stage_of_development,contract_signature_date,expected_completion_date,completion_date_actual,service_provision_started,service_provision_end_expected,service_provision_end_actual,notes_about_dates,project_finance_currency_iso,staticfx_210525,fx_pair,total_investment_committed_exact_usd,total_investment_committed_exact,total_investment_committed_usd,investment_commitment_max_value,investment_commitment_min_value,project_finance_notes,social_challenge_category,intervention_description,intervention_policy_sector,target_population_description,target_pop_unique_value,target_pop_type,beneficiaries_actual_value,beneficiaries_actual_type,beneficiaries_notes,value_notes
South Carolina Nurse-Family Partnership Pay for Success Project,,South Carolina Nurse-Family Partnership Pay for Success Project,,,,US,,False,False,Pay For Success Project,False,False,False,False,Implementation,,,,2016-04,,,Enrolment started on 1/1/2016. Full launch of the project on 1/4/2016.,USD,1,USDUSD,17500000,17500000,17500000,,,,,"The intervention extends the service provider's nursing program statewide. The service provider partners first-time mothers with a personal, specially-trained nurse home visitor who guides them through pregnancy until their child's second birthday. The expectant moms benefit by getting the care and support they need to have a healthy pregnancy, while also developing a close relationship with a nurse who becomes a trusted resource they can rely on for advice in the future. Through this partnership, the nurse provides new moms with the confidence and tools they need to assure a healthy start for their babies and envision a life of stability and opportunities for both mom and child.",Health,"First-time, low-income moms at no more than twenty-eight weeks gestation with eligible/enrolled in Medicaid, with focus on ZIP codes with high concentrations of poverty.  ",,,,,,"The project uses a combination of fee-for-service and pay-for-success mechanisms. Contemporaneous per-visit Medicaid payments are covering approximately 45% of the budget, while investor contributions are covering the remaining 55%."
Denver Housing to Health Initiative,,Denver Housing to Health Initiative,,,,US,,False,False,,False,False,False,False,Implementation,2016-02,,,2016-02,,,Contractual quarter started on 1/1/2016,USD,1,USDUSD,8650000,8650000,8650000,,,,,"Provide housing and supportive case management services (i.e. Housing First). The intervention focuses on preventive services to help individuals lead more stable and productive lives, reduce the likelihood of them engaging in nuisances and crimes, and therefore avoid expensive encounters with the criminal justice and safety-net systems. The service providers use modified models based on an Assertive Community Treatment (i.e. ACT) model for supportive services, which is a highly integrated and intensive approach for delivering community mental health services. Additionally, participants will also be enrolled in Medicaid.  ",Homelessness,"Frequent users of public services who increase the costs of such services by cycling in and out of jail and detox centers and by using emergency medical services. Service provider identified individuals who had at least 8 arrests over three years (2012 - 2014), who identified as transient (having no address or providing the address of a shelter) at the time of their arrest, and had multiple detox visits per year.",,,,,,"The City and State contribute to the project's capital construction through low-income housing tax credits and vouchers, as well as Medicaid funding."
Strong Beginnings Pay for Success Project,,Strong Beginnings Pay for Success Project,,,,US,,False,False,Pay For Success Project,False,False,False,False,Implementation,,,,2016-01,,,,USD,1,USDUSD,8500000,8500000,8500000,,,,,"The intervention focuses on improving health and early childhood development outcomes for high-risk African-American and Latina mothers and their babies through home-visitation, social support, referrals to resources, community programs and better coordination of care throughout pregnancy until the child's second birthday. More specifically, the intervention requires nurses to visit new mothers from early in their pregnancies until two years after their child's birth to provide prenatal care, breastfeeding support, parenting and life skills-building, and healthcare or emotional support. The intervention aims to reduce rates of infant mortality and low birth-weight.",Child and family welfare,"Medicaid-eligible, high-risk pregnant women and their families.",,,,,,
Connecticut Family Stability Pay for Success Project,,Connecticut Family Stability Pay for Success Project,,,,US,,False,False,Pay For Success Project,False,False,False,False,Implementation,,,,2016-01,,,,USD,1,USDUSD,11200000,11200000,11200000,,,,,"The intervention seeks to expand Family-Based Recovery (i.e. FBR) in order to promote family stability and reduce parental substance use for families involved with the Connecticut Department of Children and Families. Once a family enrols with FBR, they receive services focused on understanding and responding to the child's developmental needs and treating substance use for an average of six months. The program aims to eliminate substance use among fathers and mothers who are actively parenting a child younger than 72 months, prevent the risk of child neglect and disruption of primary relationships, and promote healthy child development. ",Child and family welfare,Parents who are actively parenting a child younger than 72 months with a demonstrated the need for substance use treatment by producing a positive toxicology test prior to 45 days of program intake.,,,,,,
DC Water Environmental Bond,,DC Water Environmental Bond,,,,US,,False,False,Environmental Bond,False,False,False,False,Implementation,2017,,,2016-10,,,,USD,1,USDUSD,25000000,25000000,25000000,,,,Stormwater runoff,"Development of green infrastructure (i.e. permeable pavement and bioretention) designed to mimic the same absorption and filtering processes found in nature in order to slow surges of stormwater during periods of heavy rainfall. Beneath the surface of a rain garden or permeable pavement installation, there are layers of soil, rock, and gravel that slowly filter stormwater allowing it to be reabsorbed into the ground or flow into the sewer system and back to the treatment facility for treatment. By absorbing and slowing stormwater, green infrastructure mitigates stormwater runoff, ultimately reducing the incidence and volume of CSOs (i.e. Combined Sewer Overflow).",Agriculture and environment,20 equivalent impervious acres of green stormwater infrastructure for Rock Creek Project A.,,,,,,"The cost of installing the green infrastructure are paid for by DC Water (through the issuing of a 30 year municipal tax-exempt bond with a mandatory term of 5 years), but the performance risk of the green infrastructure in managing stormwater runoff is shared amongst DC Water and the investors through the SIB mechanism. Only a 3,3 million USD payment is linked to performance metrics. "
Salt Lake County Pay for Success REACH Initiative,,Salt Lake County Pay for Success REACH Initiative,,,,US,,False,False,Pay For Success Initiative,False,False,False,False,Implementation,2016-12,,,2017-05,,,,USD,1,USDUSD,4600000,4600000,4600000,,,,,"The intervention is based on the First Step House (i.e. FSH) model, which addresses five major domains defined by the acronym REACH: Recovery, Engagement, Assessment, Career Development, and Housing. The REACH program model was built on the framework of risk-need-responsivity (i.e. RNR) principles, and is designed for adult males assessed as high-risk, high-need who are diagnosed with moderate to severe subtstance disorders. The program aims to address the major criminogenic needs that have the greatest impact on reducing recidivism, including antisocial behaviors, antisocial personality/negative emotionality, antisocial attitudes and cognitions, antisocial associates, problems with school and work, lack of prosocial activities, family and marital problems, and substance abuse. The program has adopted several evidence-based interventions, including MRT, CENAPS Model fo Relapse Prevention, other CBTs, and Motivation Interviewing to attenuate treatment resistance, facilitate mental health treatment through interagency partnerships, provide housing, and career development services.",Criminal justice,"18 year-old or older male offenders court ordered to Adult Probation and Parole (i.e. AP&P) probation and who are assessed as high risk as indicated by a LS/RNR score of 20 or higher or a LSI-R score of 24 or higher, with substance abuse disorder (score of 4 or higher on LS/RNR).",,,,,,
Salt Lake County Homes Not Jails ,,Salt Lake County Homes Not Jails ,,,,US,,False,False,,False,False,False,False,Implementation,2016-12,,,2017-01,,,,USD,1,USDUSD,5500000,5500000,5500000,,,,,"The intervention addresses persistent homelessness and associated criminal justice contact through en enhanced Rapid 
Rehousing intervention, including move-in support, time-limited rental assistance, roommate matching, and intensive case management. The Housing Not Jail (i.e. HNJ) program model was built on the framework of the housing first (i.e. HF) model, and is designed to move persistently homeless individuals out of emergency shelter and into a stable housing placement. The intervention also intends to interrupt the frequency with which individuals cycle in and out of jail and emergency shelter. The program aims to address clients' barriers moving out of shelter to a permanent housing placement, including: poor credit history, lack of resources for rental and utility deposits, behavioral health needs, and lack of income, either from employment or enrollment in public benefits programs.",Homelessness,"Individuals who are 30-year old or older, single, and who have resided in an emergency shelter in Salt Lake County or in the YMCA domestic violence shelter for 90 to 364 days in the year preceding HNJ eligibility assessment. Participants must score 8 or less on the DAST-10 and the AUDIT-C, and 19 or less on the K6. ",,,,,,
Massachusetts Pathways to Economic Advancement Pay for Success Project,,Massachusetts Pathways to Economic Advancement Pay for Success Project,,,,US,,False,False,Pay For Success Project,False,False,False,False,Implementation,2016-09,,,2017-06,,,,USD,1,USDUSD,12430000,12430000,12430000,,,,,"The intervention aims at delivering various services including Vocational English classes, as well as reading, math, science, and computer literacy instruction, integrated with job readiness and job search assistance, occupational skills development activities (e.g. customer service, industry-specific vocabulary), and coaching (e.g. interviewing prep). The intervention will assist limited English speakers, including documented immigrants and refugees, in making succesful transitions to employment, higher wage jobs, and higher education. The service provider will offer four distinct program tracks: Rapid Employment, English for Advancement, Skills Training, and Bridges to College. ",Employment and training,"Eligibility differs depending on intervention track: recent immigrants and refugees with low English language skills, limited education/work experience in the US (RE); individuals with low-to-intermediate English language skills, unemployed, hold work authorization, working lower-skilled/part-time jobs (EFA); intermediate English participants who have documented work history in US, but lack language/vocational skills needed to obtain desired position (OST); individuals qualified financial aid with higher level English skills, high school credential, low English, math, science, and computer skills, and meeting entry criteria for program on academic assessment by service provider (BTC).",,,,,,
Illinois Dually-Involved Youth Pay for Success Initiative,,Illinois Dually-Involved Youth Pay for Success Initiative,,,,US,,False,False,Pay For Success Initiative,False,False,False,False,Implementation,,,,2016-11,,,,USD,1,USDUSD,16400000,16400000,16400000,,,,," Since dually-involved youth interact with multiple government systems and have unique personal challenges, this initiative aims to improve outcomes by changing both systems behavior and child and family behavior. Services providers and commissioner will collaborate with juvenile courts/probation to develop a system of care that provides rapid identification, comprehensive and collaborative case coordination, and increased access to proven clinical programs for dually-involved youth. The service provider will implement the Crossover Youth Practice Model (CYPM), a set of proven practices developed by the CJJR at Georgetown University's McCourt School of Public Policy. Through this model, the service provider will offer an array of therapeutic interventions including high-fidelity wraparound services, TFCO, BSFT, ARC, SPARCS, and a variety of non-traditional therapies to help youth transition to adulthood, develop a positive support team for the youth, and thus prevent future criminal behavior.",Criminal justice,"Youth aged 11 - 17 in guardianship/custody of DCFS, involved in the juvenile justice system, from and living in Cook or Lake counties.",,,,,,The capital has not been fully closed at the time this template was completed.  The investor is unspecified (only the investors for the ramp-up period are named).
"Los Angeles County ""Just-in-Reach"" Project",,"Los Angeles County ""Just-in-Reach"" Project",,,Just in Reach,US,,False,False,,False,False,False,False,Complete,2017-06,,,2017-10,,2019-09,,USD,1,USDUSD,10000000,10000000,10000000,,,,,"The intervention is a health-based housing program (i.e. JIR) that aims to reduce jail recidivism and make significant progress in permanently ending chronic homelessness among people experiencing repeat jail stays. The program is structured in four steps. First, discharges from jail are coordinated with program staff waiting to pick up the participant upon release. Second, the participant receives placement in interim housing upon release, while the program team and the participant work to finalize permanent supportive housing placement. Third, a DHS-contracted permanent supportive housing provider assigns the participant to the most appropriate housing unit in its portfolio, from private landlord-owned units to large apartment complexes owned by nonprofit developers. Lastly, the provider administers a move-in assistance fund, which provides each participant with a security deposit paid directly to the landlord, basic furniture and household goods. ",Criminal justice,"Individuals currently involved within the LA County criminal justice system, expecting to be discharged soon, who have been chronically homeless, scored highly on the VI-SPDAT, and who have at least one diagnosable condition from a list specified in contract.",,Individual,336,Individual,,
Oklahoma Women in Recovery ,,Oklahoma Women in Recovery ,,,,US,,False,False,,False,False,False,False,Implementation,,,,2017-04,,,,USD,1,USDUSD,9000000,9000000,9000000,,,,,"The intervention is an intensive outpatient alternative to incarceration for eligible women facing long-term prison sentences for nonviolent, 
primarily drug-related offenses. The intervention equips women with the skills they need to become productive members of society. The program works closely with the criminal justice system and multiple community partners.",Criminal justice,"Participants must be women with felony charges issued in Tulsa County. They must also be 18 years old or older with substance use disorders, prison-bound, and ineligible for other Tulsa County diversion programs.",,,,,,
Ventura County Project to Support Reentry,,Ventura County Project to Support Reentry,,,,US,,False,False,,False,False,False,False,Implementation,,,,2017-11,,,06/11/2017 (announcement),USD,1,USDUSD,2290000,2290000,2290000,,,,,"The intervention is a customized program that provides a suite of services focused on understanding and responding 
to each client's individual needs for succesful reentry. The program seeks to provide case management and reentry-focused services, including a combination of Moral Reconation Therapy (MRT), trauma therapy, relationship-building classes, and employment support.",Criminal justice,Medium-to-high risk adults (as identified through the Ohio Risk Assessment System) on formal probation,,,,,,
Alameda County Justice Restoration Project,,Alameda County Justice Restoration Project,,,,US,,False,False,,False,False,False,False,Implementation,,,,2017-09,,,,,,,,,,,,,,"The intervention supports young adults returning to their neighborhoods in Alameda County through the provider's Individualized Coaching Model. Clients are paired for 18 months with coaches with similar life experiences who will provide dedicated engagement and mentorship. Coaches coordinate with probation officers and trained professionals to streamline access to an array of services that is challenging for clients to navigate without support. The model is designed to address key contributing factors to recidivism, including chronic unemployment/poverty, substance abuse, criminogenic thinking, lack of positive peer relationships and role models, and other services and supports, such as subsidized housing, mental and physical health care, and education. ",Criminal justice,"Young adults aged between 18 - 34 (with priority for those aged 18 - 24)  who are on felony probation or who have been 
charged with certain felony crimes.",,,,,,The precise amounts and sources of funding and the structure of this SIB are unclear.
The Blood Bank of Delmarva Young Blood Sustainability Project,,The Blood Bank of Delmarva Young Blood Sustainability Project,,,,US,,False,False,,False,False,False,False,Implementation,,,,2018-08,,,,USD,1,USDUSD,450000,450000,450000,,,,,The intervention seeks to scale the provider's bloodmobile program.,Health,Potential Millenial donors aged 17 - 34 years old from Delaware. ,,,,,,
The Veterans Coordinated Approach to Recovery and Employment (Veterans CARE),,The Veterans Coordinated Approach to Recovery and Employment (Veterans CARE),,,,US,,False,False,,False,False,False,False,Implementation,,,,2018-10,,,,USD,1,USDUSD,5100000,5100000,5100000,,,,,"The intervention involves local VA medical centers to deliver Individual Placement and Support (IPS), a highly personalized evidence-based approach to supported employment, to people with mental health needs. The IPS model is based on eight distinct principles of practice, namely focus on competitive employment, eligibility based on client choice, integration of rehabilitation and mental health services, attention to worker preferences, personalized benefits counselling, rapid job search, systematic job development, and time-unlimited, individualized support.",Employment and training,Unemployed or underemployed veterans with service-connected PTSD. ,,,,,,
Jefferson County Fostering Opportunities Pay for Success Initiative,,Jefferson County Fostering Opportunities Pay for Success Initiative,,,,US,,False,False,Pay For Success Initiative,False,False,False,False,Implementation,2018-07,,,2018-09,,,,USD,1,USDUSD,790000,790000,790000,,,,,The intervention is designed to build and maintain a network of educational support for students who experience foster care. The provider shall hire one licensed and qualified project lead and four licensed and qualified specialists to provide Fostering Opportunities Program to participants. ,Child and family welfare,"Youth who are in foster care when they enter grades 7,8,9, or 10.",,,,,,
Multi-Systemic Therapy Colorado,,Multi-Systemic Therapy Colorado,,,,US,,False,False,,False,False,False,False,Implementation,2018-12,,,2019-01,,,,USD,1,USDUSD,1273719,1273719,1273719,,,,,"The intervention is based on Multi-Systemic Therapy (MST), an intensive family- and community-based intervention for at-risk youth to reduce criminal justice involvement. ",Child and family welfare,"Colorado youth between the ages of 12 and 17 residing in underserved regions selected by the Lead Provider and the State in accordance with the 2018 OSPB MST Request for Information (""RFI"") in accordance with the youth inclusion and exclusion criteria articulated in the Evaluation Plan.",,,,,,"Evaluation plan is missing from contract documents, so some aspects are unclear (such as precise eligibility criteria). Direct payments (non-outcomes-based payments from commissioner) are shown as grant funding. The maximum payment per outcome refers to the whole cohort."
Rapid Response for Run Away Youth,,Rapid Response for Run Away Youth,,,,US,,False,False,,False,False,False,False,Implementation,2018-12,,,2019-01,,,,USD,1,USDUSD,894270,894270,894270,,,,,"The intervention is designed to serve runaway youth and their families by meeting where they are, including at home, within 72 hours 
of the report of a runaway incident and then connecting them to services aimed at preventing child welfare or juvenile justice involvement. The intervention is  based on Multi-Systemic Therapy (MST), a program that provides intensive in-home services for adolescents at risk for placement, utilizing family and community supports to reduce juvenile delinquency, as well as Functional Family Therapy (FFT), an integrated system for clinical assessment and successful family-based treatment of at-risk adolescents.",Child and family welfare,"Youth aged 10 - 17, who have run away from their homes or guardians. ",,,,,,Direct payments are shown as grants. The maxiumum payment per outcome refers to the whole cohort.
Oklahoma Intensive Safety Services,,Oklahoma Intensive Safety Services,,,,US,,False,False,,False,False,False,False,Implementation,,,,2019-01,,,,USD,1,USDUSD,142000,142000,142000,,,,,"The intervention is based on the Intensive Safety Services (ISS) program that is designed to keep children safe in the home while their parents complete services instead of the children expeirencing foster care. The program provides intensive home-based services from Master's-level therapists to address parent needs that led to the abuse and/or neglect of their children. These services include direct counseling and therapy services, such as assessment and diagnosis, treatment planning, and crisis intervention. ",Child and family welfare,Children aged 0 - 12 identified to be at high imminent risk of removal from the home.,,,,,,
Entrenched Homelessness Social Impact Bond- ACTion Glos (Gloucestershire),,Entrenched Homelessness Social Impact Bond- ACTion Glos (Gloucestershire),,,,GB,,True,False,,False,False,False,False,Complete,2017-11,,,2017-10,,,,,,,,,,,,,,"The intervention aims at supporting individuals with complex needs (e.g. mental health, substance misuse etc.) through a
 Housing First approach. Housing First (Assertive Community Treatment model) is an approach to quickly and successfully connect individuals experiencing homelessness to settled accommodation without preconditions and barriers to entry such as sobriety, treatment or service participation requirements. Specialist link workers will support clients flexibly to meet all of their needs, in any setting and by linking in with existing services. Support will focus on finding and sustaining accommodation, wellbeing (including addressing addiction and mental ill health), and employment, training, and volunteering.",Homelessness,"Individuals who are verified as sleeping rough 6+ times in last 2 years OR have had repeat interaction with homelessness services in last 3 years, have at least 2 complex needs (e.g. mental health, addiction etc.), are aged over 18, and are not effectively supported through existing services.",,,126,,,
Entrenched Homelessness Social Impact Bond- ACTion Lincs (Lincolnshire),,Entrenched Homelessness Social Impact Bond- ACTion Lincs (Lincolnshire),,,,GB,,False,False,,False,False,False,False,Complete,,,,2017-09,,,,,,,,,,,,,,"The intervention aims to tackle the long-term causes of homelessness, and provide life-changing support to some of the most vulnerable people in Lincolnshire through a Housing First (Assertive Community Treatment model) approach. The service offers lasting, integrated support to people by helping them to access and sustain accomodation, mental health and drug/alcohol support, as well as education, training and employment opportunities. Support will be provided in any setting; whether that be the street, hospital, prison or in someone's house.",Homelessness,"People who have extremely complex needs, having slept outside for long periods of time, or experienced multiple episodes of homelessness.",,Individual,120,,,
The Step Down Programme (Birmingham),,The Step Down Programme (Birmingham),,,,GB,,False,False,,False,False,False,False,Complete,2014-11,2019-11,2020-03,2014-11,,,"Delivery marked to end of CBO fund, but project does continue after this.",GBP,1.34,GBPUSD,1340000,1000000,1340000,,,,,The Birmingham Residential Migration programme aims to provide a pioneering new foster placement scheme across Birmingham. It will aim to find stable family foster placements for around 80 young people currently in residential care in the Birmingham area. Core Assets Residential Migration model is a structured intensive foster placement specifically designed for young people transitioning from residential care to a family placement. Skilled and experienced foster carers are supported with a wrap-around team of professionals and the intervention is delivered through a structured phased approach that lasts for one year and can be tailored to fit the needs of each individual child.,Child and family welfare,Young people aged 11-15 currently in residential care in the Birmingham area.,,,31,Individual,,"(To monitor wellbeing outcomes) In the early stages of the child's foster placement, they were assesssed on the Ofsted Happiness Scale (this was dropped in the second year of the project), using the Pupil Assessment of Self & School psychonometric assessment, and with the Strengths and Difficulties Questionnaire. These data provided a baseline, and they were assessed every four months over the course of the placement to track progress. 


"
Bradford Positive and Included,,Bradford Positive and Included,,,,GB,,False,False,,False,False,False,False,Complete,,2023-09,2022-12,2018-02,,,5 years expected duration of delivery for CBO. 4 and 8 months actual duration of delivery for CBO.,GBP,1.34,GBPUSD,670000,500000,670000,,,,This five-year SIB aims to improve outcomes for children with learning disabilities and challenging behaviours by reducing rates of full-time residential care entry.,"Aims to improve outcomes for children with learning disabilities and challenging behaviours by reducing rates of full-time residential care entry. The project will use the 'Positive Behavioural Support' (PBS) service. PBS is an evidence based intervention that has been proven to help to prevent children being put in residential care, where they are often isolated from their family and can become vulnerable. Along with analysing and targeting a child's challenging behaviour, PBS highlights the impact of a child's wellbeing on their behaviour, and makes every effort to improve this.",Child and family welfare,Children aged 8-13 in Bradford with learning disabilities and challenging behaviours.,,Individual,,,,
Improving HIV Treatment SIB (Elton John AIDS Foundation),,Improving HIV Treatment SIB (Elton John AIDS Foundation),,,,GB,,False,False,,False,False,False,False,Complete,,2023-09,2022-03,2018-10,,,,GBP,1.34,GBPUSD,1340000,1000000,1340000,,,,HIV treatment and prevention,"The partnership works with HIV service providers including Voluntary and Community Sector Organisations in identifying ways of utilizing additional resources to commission innovative interventions to increase HIV testing in high risk groups as well as improving access to HIV treatment and retention in care that are specifically targeted to the needs of the local population. This six year proposal aims to widen access to HIV treatment, address isolation, invest in prevention and develop an integrated model of HIV care. The social impact bond expects to reach up to 493,000 people and support up to 1,250 newly diagnosed people to get the treatment they need to stay healthy.",Health,"Those undiagnosed with HIV and, those who have dropped out of HIV care ",,Individual,,,,
North West London End of Life Care Integrator ,,North West London End of Life Care Integrator ,,,End of Life Care Incubator (North West London) ,GB,,False,False,,False,False,False,False,Complete,2018-01,2023-04,2022-11,2017-12,,,,GBP,1.34,GBPUSD,1876000,1400000,1876000,,,,,"This project aims to provide high quality care for over 3700 people across 100 care homes in North West London. A 24 hour telemedicine service will provide support for care home residents and clinical assessments will be made in the homes; the service includes rapid access to nurses who are able to visit patients in their homes and support them in crisis situations. This should reduce A&E attendances and hospital admissions, while providing treatment in a familiar setting. ",Health,Care home residents in North West London aged 18 or older who are at the end of life.,,Individual,3700,,,
Healthier Devon,,Healthier Devon,,,Devon Pre-Diabetes Lifestyle Intervention Programme,GB,,False,False,,False,False,False,False,Complete,2017-10,2024-10,,2018-11,,,,GBP,1.34,GBPUSD,1407000,1050000,1407000,,,,"This social impact bond (SIB) aims to prevent or manage type 2 diabetes for up to 6,500 people in Devon.","The intervention aims at providing sustained help to patients over a two-year period to make positive changes to their lifestyle - to include nutrition, physical exercise and mental wellbeing - via a combination of one-to-one and group sessions.",Health," Adults at risk of developing Type 2 diabetes, with a focus on 40% most deprived population.",,Individual,3500,,,
Positive Families Partnership,,Positive Families Partnership,,,,GB,,False,False,,False,False,False,False,Complete,2017-06,2023-12,2023-08,2018-02,,,,GBP,1.34,GBPUSD,6030000,4500000,6030000,,,,,"The intervention carries out two therapeutic services: multisystemic therapy (MST) and functional family therapy (FFT). Both therapies involve working closely with families, coaching them to deal with difficult behavior. In MST, each therapist has a caseload of four families who they'll see at least three times a week, a 24-hour support line is also available for parents. FFT is usually delivered by qualified family therapists and is used when the need for intervention is less urgent. Both aim to help parents cope more effectively on their own. Often the goals are simple, such as making sure children come home at a reasonable time or improve school attendance. Parents are encouraged to spend positive time with their children, taking them to the cinema or for walks in the park.",Child and family welfare,"Young people aged 10 - 17 involved in serious antisocial behavior and/or substance misuse, who have been identified as being at risk of going into care.",,Individual,,,,
Mental Health and Employment Partnership (MHEP) Staffordshire,,Mental Health and Employment Partnership (MHEP) Staffordshire,,,,GB,,False,False,,False,False,False,False,Complete,2016-02,2019-03,2018-10,2016-04,,,,,,,,,,,,,This funding has been offered for a three-year social impact bond to support people with severe and enduring mental illness to get into work in Staffordshire.,"Individual Placement and Support (IPS) is designed to address the employment support needs of secondary health service users with severe mental health conditions. The IPS service delivery model is based on having an employment advisor embedded in local mental health professional teams and working in a holistic manner with the therapeutic workers. The IPS employment advisor offers a personalised employment support service to the patient based upon their wishes and needs. Support is provided to employer and employee even after a placement has been made, including necessary adaptations. ",Employment and training,Adults registered with a GP in the commissioning area who have or are recovering from a mental health condition and are looking to enter employment.,,,,,,"Outcomes payment divided between commissioners. Successful engagement of user: MHEP/BII = 20%, Commissioner = 70%, SOF/CBO Fund = 10%. All others are SOF/CBO Fund = 100%"
Reconnections Worcestershire ,,Reconnections Worcestershire ,,,,GB,,False,False,,False,False,False,False,Complete,2015-10,2022-01,2022-06,2015-07,,,,GBP,1.34,GBPUSD,1139000,850000,1139000,,,,,"The SIB provides one-to-one tailored support for lonely older people who co-develop an action plan to establish ways in which they can (re)connect with a variety of local support networks. The SIB facilitates this access to services to link individuals with their communities, with activities including: a befriending service to link volunteer 'friends' with beneficiaries, links into self-help groups (which contain people of similar age and who are experiencing similar issues), signposting to existing support activities taking place in the local community linked to economic, health, social care and emotional support services. A volunteer based locally works with each beneficiary to help them achieve the actions in their plan and help individuals maintain their connections with activities in the longer term.",Health,"Individuals who are over 50 and score: between eight and 12 on the loneliness scale; or seven on the scale and also demonstrate at least five of the enhanced risk factors including living alone, being single, divorced, never married and living on a low income.",,Individual,1571,Individual,,"Note: 3000 people identified as lonely aged 50+ years; reduced to 1800 people after contract renegotiation in Spring 2016. Referral Route: ranges from primary care providers, social care services, social landlords, and other VCSE organisations, family and friends as well as self-referral. Further assessment: Qualitative reports and economic costs analysis by Ecorys and ATQ and Personal Social Services Research Unit (PSSRU) at London School of Economics. "
Ways to Wellness ,,Ways to Wellness ,,,,GB,,False,False,,False,False,False,False,Complete,2015-03,2022-03,2022-10,2015-04,,,,GBP,1.34,GBPUSD,2211000,1650000,2211000,,,Type of investment: Quasi-Equity (working capital) with 84 month term.,"This funding will be used for a social impact bond (SIB) designed to motivate up to 8,000 older people to take up healthy activities.","Ways to Wellness comprises a ""hub"" model of working in which a non-medical link worker trained in behaviour change methods offers a holistic and personalised service to identify meaningful health and wellness goals, as well as connecting clients, when indicated, to community and voluntary groups and resources. The service comprises: (a) individual assessment, motivational interviewing and action planning, (b) completion of an initial Wellbeing Star assessment and subsequent Wellbeing Stars every six months thereafter to the duration of the intervention, (c) help to access community services (e.g. welfare rights advice, walking groups, physical activity classes, arts groups, continuing education), (d) promotion of volunteering opportunities, and (e) promotion of improved self-care and sustained behavioural changes related to healthier lifestyle choices.",Health,"People with long-term health conditions (such as Chronic Obstructive Pulmonary Disorder, Asthma, Diabetes Type 1 or 2, Coronary Heart Disease, Heart Failure, or Epilepsy), social isolation, frequent attenders at GP or hospitals due to poor understanding of condition, anxiety or depression (in addition to a long-term condition), poor health but with scope to improve with lifestyle change, poor English literacy. They must be aged 40-74 and living in areas of Newcastle West which experience high socio-economic deprivation.",,Individual,8500,,,"During the start up phase, the WtW and Cabinet Office paid 70% of payments for Outcome A with the CCG paying 30% to share the risk. Providers are paid on non-outcome tasks (listed in outcomes section) in an effort to ensure VCSEs and SMEs are not excluded by the financial barriers to entry, and to reduce the likelihood of providers ""gaming"" the system."
Care Leavers Social Impact Bond: Reboot West (Bristol),,Care Leavers Social Impact Bond: Reboot West (Bristol),,,,GB,,False,False,,False,False,False,False,Complete,2018-08,,,2018-10,,2022-03,,,,,,,,,,,,"The project will offer support for care leavers into education, employment or training. The service will include some co-production with young people who will also participate in governance and steering arrangements to ensure services are meaningful and impact is maximised. This will include specific interest groups and responses where appropriate, for example linking with parenting programmes and our care leaver young parents group or asylum seeking group. The programme will deliver co-located staff focussed on working with our young people and the team around them. Adjustments will be made to tailor the programme to individual and specific need, aspirations and ability. It will utilise a psychologically informed approach to support young people to overcome adversity and support the achievement of EET outcomes. Services provided through this funding award will be in addition to existing statutory and other support services for care leavers. It will work in an integrated, holistic and psychologically informed way to help more care leavers to successfully gain qualifications, complete the training and education courses of their choosing and enter/sustain employment.",Child and family welfare,"Young people who have moved on from their foster or other care placement aged between 16 and 25 years (who are NEET or at risk of NEET) and to whom the local authority owes a range of duties under the Children Act 1989 (as amended by the Children (Leaving Care) Act 2000) and Children and Social Work Act 2017. The full cohort of care leavers must be identified in Year 1 (2018-19) – there will be no exclusions, with all care leavers who are NEET or at risk of NEET eligible for services. Furthermore, the approach is designed to reach and support those young people furthest from the labour market and to help deliver a supported pathway to employment.",,Individual,241,,,
I-Aspire (Lewisham),,I-Aspire (Lewisham),,,Care Leavers Social Impact Bond in Lewisham,GB,,False,False,,False,False,False,False,Complete,,,,2018-10,,2018-03,,,,,,,,,,,,"I-Aspire is a service being delivered by Depaul UK to support care leavers in Lewisham, Greenwich and Bromley achieve better education, training and employment (ETE) outcomes. Care leavers lack the support networks many young people have had from an early age. To address this disparity, the service is designed to be holistic, flexible, and dynamic in supporting young care leavers to achieve their potential in ETE. This is an opportunity to provide consistent support and an unlimited number of interventions over a period of four years, helping young care leavers to develop the independence and confidence needed to thrive in the current labour market.",Child and family welfare,"250 looked after children and care leavers in the boroughs of Lewisham, Greenwich & Bromley.",,,264,Individual,,
